element,sp_num,obs_wl_air(A),intens,Aki(s^-1),Acc,Type,
Ca,2,7575.81,30,,,,
Ca,2,7581.11,60,,,,
Ca,2,7601.30,80,,,,
Ca,2,7602.32,20,,,,
K,1,7664.89913,25r,3.779e+07,AAA,,
K,1,7698.96456,24r,3.734e+07,AAA,,
K,1,7741.07,a*,,,,
K,1,7741.07,a*,,,,
K,1,7742.46,a,,,,
K,1,7795.17,a*,,,,
K,1,7795.17,a*,,,,
K,1,7796.56,a,,,,
Na,1,7809.78,4,9.91e+04,B,,
Na,1,7810.24,3,9.72e+04,B,,
Ca,2,7820.78,40,,,,
Ca,2,7843.38,60,,,,
K,1,7864.47,a*,,,,
K,1,7864.47,a*,,,,
K,1,7865.87,a,,,,
K,1,7955.37,5,,,,
K,1,7956.83,4,,,,
Ca,2,8017.50,20,,,,
Ca,2,8020.50,20,,,,
K,1,8078.11,7,,,,
K,1,8079.62,6,,,,
Ca,2,8133.05,70,,,,
Na,1,8183.2556,5,4.29e+07,A+,,
Na,1,8194.7905,1,8.57e+06,A,,
Na,1,8194.8237,9,5.14e+07,A+,,
Ca,2,8201.72,100,5.1e+07,C,,
Ca,2,8248.80,110,6.1e+07,C,,
K,1,8250.18,9bl*,9.6e+05,B+,,
K,1,8250.18,9bl*,6.4e+04,C+,,
K,1,8251.74,8,8.9e+05,C+,,
Ca,2,8254.73,70,1.0e+07,C,,
Ca,1,8256.67,14,,,,
Ca,1,8338.04,10,,,,
Ca,1,8339.12,12,,,,
Ca,1,8352.39,10,,,,
Ca,1,8357.17,11,,,,
K,1,8390.22,3,2.71e+04,B+,,
K,1,8417.54,2,4.81e+04,A,,
K,1,8420.00,1,5.25e+04,A,,
Ca,2,8498.02,130,1.11e+06,C,,
K,1,8503.45,11bl*,1.32e+06,B+,,
K,1,8503.45,11bl*,8.80e+04,B+,,
K,1,8505.11,10,1.23e+06,B+,,
Ca,2,8542.09,170,9.9e+06,C,,
Ca,1,8633.95,10,,,,
Na,1,8649.92,7,2.25e+05,B+,,
Na,1,8650.89,6,2.21e+05,B+,,
Ca,2,8662.14,160,1.06e+07,C,,
K,1,8763.96,4,7.13e+04,A,,
K,1,8767.05,3,7.81e+04,A,,
Ca,1,8842.61,12,,,,
K,1,8902.19,13bl*,2.052e+06,AA,,
K,1,8902.19,13bl*,1.369e+05,AA,,
K,1,8904.02,12,1.914e+06,AA,,
Ca,1,8909.18,15,,,,
Ca,2,8912.07,100,,,,
K,1,8923.31,5,5.23e+04,A,,
