# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2014-09-28T00:18:26.304000	6065.01861170885	6065.7784763413065	[6065.29854403,6065.29895275,6065.49854403]	[0.31213643,0.19768251,0.20101606]	[0.16114413,0.09230797,0.24805656]	[ 2.        ,-1.99979176,-1.99948111]	0.8213595486813877	0.5841285491004927	0.6044767902220063
2014-09-28T00:18:26.304000	6111.810275918028	6113.4099909337265	[6112.51013427,6112.71013343,6112.53943054]	[0.11952124,0.52011214,0.13755988]	[0.61745876,0.147759  ,0.20530868]	[-1.20786032, 0.62358685, 1.97780891]	0.09491244028576161	1.4540042630497996	0.7968354019709607
2014-09-28T00:18:26.304000	6113.250019432157	6113.849912563044	[6113.59693085,6113.62826422,6113.5399316 ]	[0.28688665,0.15491871,0.63080653]	[0.02008258,0.06155613,0.02433309]	[-1.34742105,-1.99989715,-0.57380562]	0.3193647118830786	0.14495361452218375	0.18447389914805207
2014-09-28T00:18:26.304000	6424.314604234716	6425.914319250415	[6425.01446174,6425.2144617 ,6425.1503883 ]	[0.55936676,0.06440246,0.43249855]	[0.21739074,0.91960002,0.04052437]	[ 0.52059693,-1.9999972 , 0.42112562]	0.08796529283736318	2.1654925676532395	0.6362051210379003
2014-09-28T00:18:26.304000	6451.34978800002	6459.668306081652	[6455.40904704,6455.40904704]	[0.02547106,0.41105244]	[2.,2.]	[ 2.        ,-0.43659927]	0.27923561512654105	4.709640090061898	2.9814665090541066
2014-09-28T00:18:26.304000	6462.927725426137	6464.087518812519	[6463.48032095,6463.41424925,6463.40762212]	[0.04591853,0.09700421,0.14969092]	[0.33113324,0.06731088,0.14100516]	[-1.97836274, 1.99999999, 2.        ]	0.20129851947541585	0.7797591812218662	0.34203262951177726
2014-09-28T00:18:26.304000	6462.847739675353	6463.687590058595	[6463.16766487,6463.23262399,6463.16766487]	[0.08877457,0.64088641,0.13257148]	[0.04083234,0.05945312,0.6955329 ]	[ 1.92098027,-0.66033997, 1.9999731 ]	0.23704583386071476	1.6378548046404071	0.2842899569116596
2014-09-28T00:18:26.304000	6466.447098460673	6467.046991591561	[6466.8316982 ,6466.72349336,6466.84357529]	[0.46795587,0.58954959,0.33080121]	[0.01884148,0.03394599,1.86170514]	[-0.45216023,-0.33448701,-1.25138297]	0.23252929327571467	4.383980579083617	0.28136542792320846
2016-08-07T02:40:04.759000	6698.781451704009	6699.341349986937	[6698.98473653,6698.96140085,6699.08406934]	[0.38547068,0.10632893,0.27242683]	[1.97720042,0.03436791,0.05831116]	[1.22711056,1.97703979,1.16405765]	0.21476646119988285	4.65595119204277	0.2807704749852829
2016-08-07T02:40:04.759000	6973.6515158868515	6974.211414169779	[6973.83503142,6973.83146503,6973.91351462]	[0.26600333,0.1037178 ,0.16186649]	[0.00221316,0.1028044 ,0.08653287]	[ 1.64634588, 1.99999998,-1.99999921]	0.2957785100740789	0.24208585560033816	0.1956925332429968
