# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-09-20T01:47:39.845000	[6215.75835696,6215.72214979,6215.51098126]	[0.00693114,0.00916805,0.00741711]	[0.3552888 ,0.05314751,0.04910069]	[-0.09943474, 0.0337921 ,-0.25954795]	0.0015453884038424347	0.8366411800401814	0.011680506214925529
2015-09-20T01:47:39.845000	[6161.65979046,6161.78977248,6161.53155937]	[0.01712724,0.01052306,0.01073154]	[0.04209948,0.03855615,0.05911711]	[-0.13481222, 0.26990016,-0.30831634]	0.0012836437013198025	0.1392101539186502	0.006447014954938884
2015-09-20T01:47:39.845000	[6117.02043762,6116.25076017,6116.76897612]	[0.00667061,0.00681799,0.00936357]	[0.04637727,0.22327393,0.06903446]	[ 0.08810613,-1.06558796, 0.04404012]	0.0016469790906960796	0.525769918095042	0.011017405524951084
2015-09-20T01:47:39.845000	[6236.59619639,6236.76225961,6236.93848435]	[0.00343425,0.00521895,0.00122637]	[0.08364302,0.10097399,0.00464183]	[ 1.34041129, 0.09493528,-0.30491481]	0.0012307717237545724	0.23777557109628544	0.003565609726652438
2015-09-20T01:47:39.845000	[5987.        ,5987.26210922,5989.        ]	[9.64824039e-04,2.60017863e-05,2.87595910e-03]	[1.27846444,0.30237991,8.77647313]	[-3.58500921,-6.8502377 , 1.7886609 ]	0.009521114538767665	20.667014859102384	0.21434962765009927
2015-09-20T01:47:39.845000	[6250.93243362,6250.85826675,6250.57001508]	[0.00549418,0.00384826,0.01271831]	[0.12139069,0.03499724,0.15610219]	[-0.45351814, 0.62943919,-0.05611062]	0.0010753004635660293	0.3675925776219626	0.009903676046581635
2015-09-20T01:47:39.845000	[5784.82415728,5784.96373064,5784.71843284]	[0.00279694,0.00205519,0.00911332]	[0.03551646,0.00180288,0.30731127]	[ 0.03234473,-1.46484675,-0.44159988]	0.0012331244738774973	0.7236627426688531	0.010931917208763272
2015-09-20T01:47:39.845000	[6410.18585845,6411.2       ,6409.78390197]	[0.01024314,0.01525447,0.00248036]	[0.15739483,6.06195209,0.04858234]	[ 0.96904203,-0.2935274 , 0.93565462]	0.0050200067486437525	14.274806294450599	0.31757044145618707
2015-09-20T01:47:39.845000	[5948.79465978,5948.72313736]	[0.074862  ,0.02328575]	[0.01911879,0.04656869]	[-0.08160486,-1.68023466]	0.0016923209944976884	0.10966087623098918	0.013075478421297538
2015-09-20T01:47:39.845000	[6324.9788989 ,6325.95786275,6324.67401918]	[0.00313336,0.00301369,0.01343543]	[0.00393829,0.01432328,0.14788982]	[ 0.86600116,-1.58558817,-0.30748328]	0.0013737570155825534	0.34825390933585104	0.006917843226366817
